Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1uF,C_1206_3216Metric,28.75,10.5,180.0,top
C3,100nF,C_1206_3216Metric,28.7044,15.499999,180.0,top
C4,10uF,C_1206_3216Metric,53.5,13.25,90.0,top
C5,22uF,C_1206_3216Metric,47.0,21.75,0.0,top
C6,22uF,C_1206_3216Metric,46.0,18.0,90.0,top
IC1,TPS61023DRLR,SOTFL50P160X60-6N,51.5,18.25,90.0,top
J1,AMPHENOL_132357-11,AMPHENOL_132357-11-MOD,14.2,2.6625,90.0,top
J2,90122-0126,PinHeader_2x06_P2.54mm_Horizontal,58.98,15.19,0.0,top
J3,AMPHENOL_132357-11,AMPHENOL_132357-11-MOD,26.7,2.6625,90.0,top
J4,90122-0126,PinSocket_2x06_P2.54mm_Horizontal,4.03,15.15,0.0,top
J5,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,44.61,3.77,-90.0,top
J6,22-23-2021,PinSocket_2x01_P2.54mm_Horizontal,4.03,3.72,0.0,top
J7,22-23-2021,PinHeader_2x01_P2.54mm_Horizontal,58.98,3.76,0.0,top
L1,1uH,L_1206_3216Metric,53.0,21.75,180.0,top
R1,10R,R_1206_3216Metric,28.75,13.0,0.0,top
R2,10K,R_1206_3216Metric,28.75,19.0,0.0,top
R3,10K,R_1206_3216Metric,28.75,21.25,0.0,top
R4,732K,R_1206_3216Metric,48.5,18.0,90.0,top
R5,100K,R_1206_3216Metric,48.5,13.2125,90.0,top
U2,MAX14866UTM+T,21-0144H_T4877-6_MXM,18.0,15.75,-90.0,top
